username,degree_centrality,in_degree_centrality,out_degree_centrality,closeness_centrality,betweenness_centrality,pagerank,load_centrality,hits_hub,hits_auth,clustering,triangles,eigenvector_centrality,square_clustering,community
keara.kelleher,0.04195804195804196,0.04195804195804196,0.0,0.2782547641038207,0.0,0.0033341131913044086,0.0,-0.0,1.7838225706147116e-05,0.5606060606060606,37,0.00023239515434874924,0.21680497925311204,1
olivia_kiskadden_,0.43356643356643354,0.20279720279720279,0.23076923076923078,0.3384615384615385,0.01028592417047976,0.005094586917665516,0.00999438975282768,0.016239261213123166,0.014506552469284971,0.5401703072935949,1459,0.14452855989154034,0.3626073740282317,5
mackenzie_coyne,0.04195804195804196,0.02097902097902098,0.02097902097902098,0.24641303341664353,0.014413444144213831,0.004162317222796984,0.014542142909367797,3.33097746866406e-06,4.581095094819588e-07,0.06666666666666667,1,4.051524077333574e-05,0.044444444444444446,1
savanna_wills,0.3776223776223776,0.20279720279720279,0.17482517482517482,0.31072720905801327,0.002713259993216599,0.005707327529679215,0.0025856951374701987,0.012594199922229713,0.013295818961733263,0.5375291375291376,1153,0.13908052072887078,0.363481614552581,5
gabscoffeeandreads,0.013986013986013986,0.006993006993006993,0.006993006993006993,0.25437171524128044,0.0,0.0010222764248264244,0.0,0.00043947291811870687,0.0007155576026116009,1.0,3,0.005862437642167915,0.42857142857142855,5
sampease24,0.2867132867132867,0.13636363636363635,0.15034965034965034,0.3696195501249653,0.2142034061594105,0.015471057693506571,0.21105669409365932,0.0016997501412039898,0.0014595461946154686,0.12579281183932348,119,0.017884569537922664,0.051983382963861624,6
zw_huang99,0.006993006993006993,0.0,0.006993006993006993,0.0,0.0,0.0009110212159513634,0.0,3.335623459133852e-06,-0.0,0.0,0,9.290715333066334e-23,0.06666666666666667,1
madiisupiino,0.13986013986013987,0.06643356643356643,0.07342657342657342,0.2694331983805668,0.00295095892253257,0.004281557627142445,0.0030591228735543196,1.905452512104818e-05,2.432380039661967e-05,0.40711462450592883,103,0.0003070191385957035,0.18200408997955012,1
hnelae,0.46153846153846156,0.2202797202797203,0.24125874125874125,0.31502958579881657,0.006439573457149079,0.005652269798469116,0.0062043876486006025,0.015535400275860372,0.014848155965956572,0.4939117199391172,1298,0.14476580158576532,0.34187205262806797,5
lhaliko,0.024475524475524476,0.01048951048951049,0.013986013986013986,0.2582209719662431,0.0,0.0022909849791244554,0.0,3.780697961803754e-05,3.631575295315559e-05,1.0,6,0.00046690399988461674,0.14935064935064934,6
